Date,Event,unifiedAppName,"May 20 2024, 12:00AM - May 15 2025, 7:09PM"
2024-06-17,All Events [Unique Users],RoomsHost RCVideo,1
2024-06-17,All Events [Unique Users],RoomsHost,477
2024-06-17,All Events [Unique Users],TELUS Business Connect for Teams,5
2024-06-17,All Events [Unique Users],Unify Office,0
2024-06-17,All Events [Unique Users],UnifyOfficeDesktop,9924
2024-06-17,All Events [Unique Users],UnifyOfficeMobile,4107
2024-06-17,All Events [Unique Users],UnifyOfficeWeb,442
2024-06-17,All Events [Unique Users],VodafoneBusinessDesktop,13638
2024-06-17,All Events [Unique Users],VodafoneBusinessMobile,14584
2024-06-17,All Events [Unique Users],VodafoneBusinessWeb,476
2024-06-24,All Events [Unique Users],AT&T Office@Hand for Teams,3
2024-06-24,All Events [Unique Users],AvayaCloudDesktop,73330
2024-06-24,All Events [Unique Users],AvayaCloudMobile,41592
2024-06-24,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-06-24,All Events [Unique Users],AvayaCloudOfficeForTeams,130
2024-06-24,All Events [Unique Users],AvayaCloudWeb,4375
2024-06-24,All Events [Unique Users],BT Cloud Work for Teams,0
2024-06-24,All Events [Unique Users],BTCloudWorkDesktop,15134
2024-06-24,All Events [Unique Users],BTCloudWorkForTeams,945
2024-06-24,All Events [Unique Users],BTCloudWorkMobile,19808
2024-06-24,All Events [Unique Users],BTCloudWorkWeb,680
2024-06-24,All Events [Unique Users],BusinessConnectDesktop,26670
2024-06-24,All Events [Unique Users],BusinessConnectForTeams,1524
2024-06-24,All Events [Unique Users],BusinessConnectMobile,41890
2024-06-24,All Events [Unique Users],BusinessConnectWeb,1553
2024-06-24,All Events [Unique Users],OfficeAtHandDesktop,37528
2024-06-24,All Events [Unique Users],OfficeAtHandForTeams,987
2024-06-24,All Events [Unique Users],OfficeAtHandMobile,38094
2024-06-24,All Events [Unique Users],OfficeAtHandWeb,3693
2024-06-24,All Events [Unique Users],RCAppBizDesktop,424
2024-06-24,All Events [Unique Users],RCAppBizWeb,42
2024-06-24,All Events [Unique Users],RCAppClassicDesktop,0
2024-06-24,All Events [Unique Users],RCAppClassicWeb,0
2024-06-24,All Events [Unique Users],RCAppDesktoP,0
2024-06-24,All Events [Unique Users],RCAppDesktop,1268233
2024-06-24,All Events [Unique Users],RCAppMobile,985519
2024-06-24,All Events [Unique Users],RCAppSoloMobile,0
2024-06-24,All Events [Unique Users],RCAppWeb,141549
2024-06-24,All Events [Unique Users],RCIntuneAppMobile,3078
2024-06-24,All Events [Unique Users],RCSoloAppMobile,46
2024-06-24,All Events [Unique Users],RainbowOfficeDesktop,0
2024-06-24,All Events [Unique Users],RainbowOfficeMobile,1
2024-06-24,All Events [Unique Users],RainbowOfficeWeb,0
2024-06-24,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-06-24,All Events [Unique Users],RingCentral for Teams,16
2024-06-24,All Events [Unique Users],RingCentral,0
2024-06-24,All Events [Unique Users],RingCentralForTeams,65340
2024-06-24,All Events [Unique Users],RingExForGoogle,0
2024-06-24,All Events [Unique Users],RoomsController,439
2024-06-24,All Events [Unique Users],RoomsHost RCVideo,0
2024-06-24,All Events [Unique Users],RoomsHost,481
2024-06-24,All Events [Unique Users],TELUS Business Connect for Teams,2
2024-06-24,All Events [Unique Users],Unify Office,0
2024-06-24,All Events [Unique Users],UnifyOfficeDesktop,9780
2024-06-24,All Events [Unique Users],UnifyOfficeMobile,3943
2024-06-24,All Events [Unique Users],UnifyOfficeWeb,471
2024-06-24,All Events [Unique Users],VodafoneBusinessDesktop,13723
2024-06-24,All Events [Unique Users],VodafoneBusinessMobile,14790
2024-06-24,All Events [Unique Users],VodafoneBusinessWeb,468
2024-07-01,All Events [Unique Users],AT&T Office@Hand for Teams,1
2024-07-01,All Events [Unique Users],AvayaCloudDesktop,72151
2024-07-01,All Events [Unique Users],AvayaCloudMobile,41801
2024-07-01,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-07-01,All Events [Unique Users],AvayaCloudOfficeForTeams,150
2024-07-01,All Events [Unique Users],AvayaCloudWeb,3911
2024-07-01,All Events [Unique Users],BT Cloud Work for Teams,2
2024-07-01,All Events [Unique Users],BTCloudWorkDesktop,15498
2024-07-01,All Events [Unique Users],BTCloudWorkForTeams,1031
2024-07-01,All Events [Unique Users],BTCloudWorkMobile,19700
